LeagueName,LeagueNode,RegionName,RegionShortName
Romanian First League,ROU1,,
Romanian Second League,ROU2,,
Romanian Third League Group 1,ROU3,,
Romanian Third League Group 2,ROU3,,
Romanian Third League Group 3,ROU3,,
Romanian Third League Group 4,ROU3,,
Romanian Third League Group 5,ROU3,,
Romanian Fourth League Alba,ROU4,Alba,AB
Romanian Fourth League Arad,ROU4,Arad,AR
Romanian Fourth League Argeş,ROU4,Argeş,AG
Romanian Fourth League Bacău,ROU4,Bacău,BC
Romanian Fourth League Bihor,ROU4,Bihor,BH
Romanian Fourth League Bistriţa-Năsăud,ROU4,Bistriţa-Năsăud,BN
Romanian Fourth League Botoşani,ROU4,Botoşani,BN
Romanian Fourth League Braşov,ROU4,Braşov,BV
Romanian Fourth League Brăila,ROU4,Brăila,BR
Romanian Fourth League Bucureşti,ROU4,Bucureşti,B
Romanian Fourth League Buzău,ROU4,Buzău,BZ
Romanian Fourth League Caraş-Severin,ROU4,Caraş-Severin,CS
Romanian Fourth League Călăraşi,ROU4,Călăraşi,CL
Romanian Fourth League Cluj,ROU4,Cluj,CJ
Romanian Fourth League Constanţa,ROU4,Constanţa,CT
Romanian Fourth League Covasna,ROU4,Covasna,CV
Romanian Fourth League Dâmboviţa,ROU4,Dâmboviţa,DB
Romanian Fourth League Dolj,ROU4,Dolj,DJ
Romanian Fourth League Galaţi,ROU4,Galaţi,GL
Romanian Fourth League Giurgiu,ROU4,Giurgiu,GR
Romanian Fourth League Harghita,ROU4,Harghita,HG
Romanian Fourth League Hunedoara,ROU4,Hunedoara,HD
Romanian Fourth League Ialomiţa,ROU4,Ialomiţa,IL
Romanian Fourth League Iaşi,ROU4,Iaşi,IS
Romanian Fourth League Ilfov,ROU4,Ilfov,IF
Romanian Fourth League Maramureş,ROU4,Maramureş,MM
Romanian Fourth League Mehedinţi,ROU4,Mehedinţi,MH
Romanian Fourth League Mureş,ROU4,Mureş,MS
Romanian Fourth League Neamţ,ROU4,Neamţ,NT
Romanian Fourth League Olt,ROU4,Olt,OT
Romanian Fourth League Prahova,ROU4,Prahova,PH
Romanian Fourth League Satu Mare,ROU4,Satu Mare,SM
Romanian Fourth League Sălaj,ROU4,Sălaj,SJ
Romanian Fourth League Sibiu,ROU4,Sibiu,SB
Romanian Fourth League Suceava,ROU4,Suceava,SV
Romanian Fourth League Teleorman,ROU4,Teleorman,TL
Romanian Fourth League Timiş,ROU4,Timiş,TM
Romanian Fourth League Tulcea,ROU4,Tulcea,TL
Romanian Fourth League Vaslui,ROU4,Vaslui,VS
Romanian Fourth League Vâlcea,ROU4,Vâlcea,VL
Romanian Fourth League Vrancea,ROU4,Vrancea,VR
Romanian Lower League,ROU5,,
Romanian National U19 Championship Group 1,ROU6,,
Romanian National U19 Championship Group 2,ROU6,,
Romanian National U19 Championship Group 3,ROU6,,
Romanian National U19 Championship Group 4,ROU6,,
Romanian National U19 Championship Group 5,ROU6,,
Romanian National U19 Championship Group 6,ROU6,,
Romanian National U19 Championship Group 7,ROU6,,
Romanian National U19 Championship Group 8,ROU6,,
Romanian National U19 Championship Group 9,ROU6,,
Romanian National U19 Championship Group 10,ROU6,,
Romanian National U19 Championship Group 11,ROU6,,
Romanian U19 Top League Est,ROU7,,
Romanian U19 Top League West,ROU7,,